lit_comb_classes_yago_data_model
Epoch 730 :  test_rel rank 1.8612
Epoch 735 :  test_rel rank 1.8612
Epoch 740 :  test_rel rank 1.8612
Epoch 745 :  test_rel rank 1.8612
Epoch 750 :  test_rel rank 1.8612
Epoch 755 :  test_rel rank 1.8612
Epoch 760 :  test_rel rank 1.8612
Epoch 765 :  test_rel rank 1.8612
Epoch 770 :  test_rel rank 1.8612
Epoch 775 :  test_rel rank 1.8612
Epoch 780 :  test_rel rank 1.8612
Epoch 785 :  test_rel rank 1.8612
Epoch 790 :  test_rel rank 1.8612
Epoch 795 :  test_rel rank 1.8612
Epoch 800 :  test_rel rank 1.8612
Epoch 805 :  test_rel rank 1.8612
Epoch 810 :  test_rel rank 1.8612
Epoch 815 :  test_rel rank 1.8612
Epoch 820 :  test_rel rank 1.8612
Epoch 825 :  test_rel rank 1.8612
Epoch 830 :  test_rel rank 1.8612
Epoch 835 :  test_rel rank 1.8612
Epoch 840 :  test_rel rank 1.8612
Epoch 845 :  test_rel rank 1.8612
Epoch 850 :  test_rel rank 1.8612
Epoch 855 :  test_rel rank 1.8612
Epoch 860 :  test_rel rank 1.8612
Epoch 865 :  test_rel rank 1.8612
Epoch 870 :  test_rel rank 1.8612
Epoch 875 :  test_rel rank 1.8612
Epoch 880 :  test_rel rank 1.8612
Epoch 885 :  test_rel rank 1.8612
Epoch 890 :  test_rel rank 1.8612
Epoch 895 :  test_rel rank 1.8612
Epoch 900 :  test_rel rank 1.8612
Epoch 905 :  test_rel rank 1.8612
Epoch 910 :  test_rel rank 1.8612
Epoch 915 :  test_rel rank 1.8612
Epoch 920 :  test_rel rank 1.8612
Epoch 925 :  test_rel rank 1.8612
Epoch 930 :  test_rel rank 1.8612
Epoch 935 :  test_rel rank 1.8612
Epoch 940 :  test_rel rank 1.8612
Epoch 945 :  test_rel rank 1.8612
Epoch 950 :  test_rel rank 1.8612
Epoch 955 :  test_rel rank 1.8612
Epoch 960 :  test_rel rank 1.8612
Epoch 965 :  test_rel rank 1.8612
Epoch 970 :  test_rel rank 1.8612
Epoch 975 :  test_rel rank 1.8612
Epoch 980 :  test_rel rank 1.8612
Epoch 985 :  test_rel rank 1.8612
Epoch 990 :  test_rel rank 1.8612
Epoch 995 :  test_rel rank 1.8612
Traceback (most recent call last):
  File "/home/adityad/HyTE/HyTE-master/result_eval_relation.py", line 16, in <module>
    model_output_rel = open('results/'+args.model+'/valid_rel_pred_{}.txt'.format(k))
FileNotFoundError: [Errno 2] No such file or directory: 'results/lit_comb_classes_yago_data_model/valid_rel_pred_1000.txt'
