wiki_data_neg_sample_5_mar_10_l2_0.00_model
Epoch 640 :  test_rel rank 1.1855136733185514
Epoch 645 :  test_rel rank 1.185760039418576
Epoch 650 :  test_rel rank 1.185760039418576
Epoch 655 :  test_rel rank 1.1862527716186253
Epoch 660 :  test_rel rank 1.1869918699186992
Epoch 665 :  test_rel rank 1.1860064055186006
Epoch 670 :  test_rel rank 1.1862527716186253
Epoch 675 :  test_rel rank 1.1862527716186253
Epoch 680 :  test_rel rank 1.18649913771865
Epoch 685 :  test_rel rank 1.18649913771865
Epoch 690 :  test_rel rank 1.18649913771865
Epoch 695 :  test_rel rank 1.18649913771865
Epoch 700 :  test_rel rank 1.18649913771865
Epoch 705 :  test_rel rank 1.18649913771865
Epoch 710 :  test_rel rank 1.18649913771865
Epoch 715 :  test_rel rank 1.18649913771865
Epoch 720 :  test_rel rank 1.18649913771865
Epoch 725 :  test_rel rank 1.18649913771865
Epoch 730 :  test_rel rank 1.18649913771865
Epoch 735 :  test_rel rank 1.18649913771865
Epoch 740 :  test_rel rank 1.18649913771865
Epoch 745 :  test_rel rank 1.18649913771865
Epoch 750 :  test_rel rank 1.18649913771865
Epoch 755 :  test_rel rank 1.18649913771865
Epoch 760 :  test_rel rank 1.18649913771865
Epoch 765 :  test_rel rank 1.18649913771865
Epoch 770 :  test_rel rank 1.18649913771865
Epoch 775 :  test_rel rank 1.18649913771865
Epoch 780 :  test_rel rank 1.18649913771865
Epoch 785 :  test_rel rank 1.18649913771865
Epoch 790 :  test_rel rank 1.18649913771865
Epoch 795 :  test_rel rank 1.18649913771865
Epoch 800 :  test_rel rank 1.18649913771865
Epoch 805 :  test_rel rank 1.18649913771865
Epoch 810 :  test_rel rank 1.18649913771865
Epoch 815 :  test_rel rank 1.18649913771865
Epoch 820 :  test_rel rank 1.18649913771865
Epoch 825 :  test_rel rank 1.18649913771865
Epoch 830 :  test_rel rank 1.18649913771865
Epoch 835 :  test_rel rank 1.18649913771865
Epoch 840 :  test_rel rank 1.18649913771865
Epoch 845 :  test_rel rank 1.18649913771865
Epoch 850 :  test_rel rank 1.18649913771865
Epoch 855 :  test_rel rank 1.18649913771865
Epoch 860 :  test_rel rank 1.18649913771865
Epoch 865 :  test_rel rank 1.18649913771865
Epoch 870 :  test_rel rank 1.18649913771865
Epoch 875 :  test_rel rank 1.18649913771865
Epoch 880 :  test_rel rank 1.18649913771865
Epoch 885 :  test_rel rank 1.18649913771865
Epoch 890 :  test_rel rank 1.18649913771865
Epoch 895 :  test_rel rank 1.18649913771865
Epoch 900 :  test_rel rank 1.18649913771865
Epoch 905 :  test_rel rank 1.18649913771865
Epoch 910 :  test_rel rank 1.18649913771865
Epoch 915 :  test_rel rank 1.18649913771865
Epoch 920 :  test_rel rank 1.18649913771865
Epoch 925 :  test_rel rank 1.18649913771865
Epoch 930 :  test_rel rank 1.18649913771865
Epoch 935 :  test_rel rank 1.18649913771865
Epoch 940 :  test_rel rank 1.18649913771865
Epoch 945 :  test_rel rank 1.18649913771865
Epoch 950 :  test_rel rank 1.18649913771865
Epoch 955 :  test_rel rank 1.18649913771865
Epoch 960 :  test_rel rank 1.18649913771865
Epoch 965 :  test_rel rank 1.18649913771865
Epoch 970 :  test_rel rank 1.18649913771865
Epoch 975 :  test_rel rank 1.18649913771865
Epoch 980 :  test_rel rank 1.18649913771865
Epoch 985 :  test_rel rank 1.18649913771865
Epoch 990 :  test_rel rank 1.18649913771865
Epoch 995 :  test_rel rank 1.18649913771865
Epoch 1000 :  test_rel rank 1.18649913771865
Epoch 1005 :  test_rel rank 1.18649913771865
Epoch 1010 :  test_rel rank 1.18649913771865
Epoch 1015 :  test_rel rank 1.18649913771865
Epoch 1020 :  test_rel rank 1.18649913771865
Epoch 1025 :  test_rel rank 1.18649913771865
Epoch 1030 :  test_rel rank 1.18649913771865
Epoch 1035 :  test_rel rank 1.18649913771865
Epoch 1040 :  test_rel rank 1.18649913771865
Epoch 1045 :  test_rel rank 1.18649913771865
Epoch 1050 :  test_rel rank 1.18649913771865
Epoch 1055 :  test_rel rank 1.18649913771865
Epoch 1060 :  test_rel rank 1.18649913771865
Epoch 1065 :  test_rel rank 1.18649913771865
Epoch 1070 :  test_rel rank 1.18649913771865
Epoch 1075 :  test_rel rank 1.18649913771865
Epoch 1080 :  test_rel rank 1.18649913771865
Epoch 1085 :  test_rel rank 1.18649913771865
Epoch 1090 :  test_rel rank 1.18649913771865
Epoch 1095 :  test_rel rank 1.18649913771865
Epoch 1100 :  test_rel rank 1.18649913771865
Epoch 1105 :  test_rel rank 1.18649913771865
Epoch 1110 :  test_rel rank 1.18649913771865
Epoch 1115 :  test_rel rank 1.18649913771865
Epoch 1120 :  test_rel rank 1.18649913771865
Epoch 1125 :  test_rel rank 1.18649913771865
Epoch 1130 :  test_rel rank 1.18649913771865
Epoch 1135 :  test_rel rank 1.18649913771865
Epoch 1140 :  test_rel rank 1.18649913771865
Epoch 1145 :  test_rel rank 1.18649913771865
Epoch 1150 :  test_rel rank 1.18649913771865
Epoch 1155 :  test_rel rank 1.18649913771865
Epoch 1160 :  test_rel rank 1.18649913771865
Epoch 1165 :  test_rel rank 1.18649913771865
Epoch 1170 :  test_rel rank 1.18649913771865
Epoch 1175 :  test_rel rank 1.18649913771865
Epoch 1180 :  test_rel rank 1.18649913771865
Epoch 1185 :  test_rel rank 1.18649913771865
Epoch 1190 :  test_rel rank 1.18649913771865
Epoch 1195 :  test_rel rank 1.18649913771865
Epoch 1200 :  test_rel rank 1.18649913771865
Epoch 1205 :  test_rel rank 1.18649913771865
Epoch 1210 :  test_rel rank 1.18649913771865
Epoch 1215 :  test_rel rank 1.18649913771865
Epoch 1220 :  test_rel rank 1.18649913771865
Epoch 1225 :  test_rel rank 1.18649913771865
Epoch 1230 :  test_rel rank 1.18649913771865
Epoch 1235 :  test_rel rank 1.18649913771865
Epoch 1240 :  test_rel rank 1.18649913771865
Epoch 1245 :  test_rel rank 1.18649913771865
Epoch 1250 :  test_rel rank 1.18649913771865
Epoch 1255 :  test_rel rank 1.18649913771865
Epoch 1260 :  test_rel rank 1.18649913771865
Epoch 1265 :  test_rel rank 1.18649913771865
Epoch 1270 :  test_rel rank 1.18649913771865
Epoch 1275 :  test_rel rank 1.18649913771865
Epoch 1280 :  test_rel rank 1.18649913771865
Epoch 1285 :  test_rel rank 1.18649913771865
Epoch 1290 :  test_rel rank 1.18649913771865
Epoch 1295 :  test_rel rank 1.18649913771865
Epoch 1300 :  test_rel rank 1.18649913771865
Epoch 1305 :  test_rel rank 1.18649913771865
Epoch 1310 :  test_rel rank 1.18649913771865
Epoch 1315 :  test_rel rank 1.18649913771865
Epoch 1320 :  test_rel rank 1.18649913771865
Epoch 1325 :  test_rel rank 1.18649913771865
Epoch 1330 :  test_rel rank 1.18649913771865
Epoch 1335 :  test_rel rank 1.18649913771865
Epoch 1340 :  test_rel rank 1.18649913771865
Epoch 1345 :  test_rel rank 1.18649913771865
Epoch 1350 :  test_rel rank 1.18649913771865
Epoch 1355 :  test_rel rank 1.18649913771865
Epoch 1360 :  test_rel rank 1.18649913771865
Epoch 1365 :  test_rel rank 1.18649913771865
Epoch 1370 :  test_rel rank 1.18649913771865
Epoch 1375 :  test_rel rank 1.18649913771865
Epoch 1380 :  test_rel rank 1.18649913771865
Epoch 1385 :  test_rel rank 1.18649913771865
Epoch 1390 :  test_rel rank 1.18649913771865
Epoch 1395 :  test_rel rank 1.18649913771865
Epoch 1400 :  test_rel rank 1.18649913771865
Epoch 1405 :  test_rel rank 1.18649913771865
Epoch 1410 :  test_rel rank 1.18649913771865
Epoch 1415 :  test_rel rank 1.18649913771865
Epoch 1420 :  test_rel rank 1.18649913771865
Epoch 1425 :  test_rel rank 1.18649913771865
Epoch 1430 :  test_rel rank 1.18649913771865
Epoch 1435 :  test_rel rank 1.18649913771865
Epoch 1440 :  test_rel rank 1.18649913771865
Epoch 1445 :  test_rel rank 1.18649913771865
Epoch 1450 :  test_rel rank 1.18649913771865
Epoch 1455 :  test_rel rank 1.18649913771865
Epoch 1460 :  test_rel rank 1.18649913771865
Epoch 1465 :  test_rel rank 1.18649913771865
Epoch 1470 :  test_rel rank 1.18649913771865
Epoch 1475 :  test_rel rank 1.18649913771865
Epoch 1480 :  test_rel rank 1.18649913771865
Epoch 1485 :  test_rel rank 1.18649913771865
Epoch 1490 :  test_rel rank 1.18649913771865
Epoch 1495 :  test_rel rank 1.18649913771865
Epoch 1500 :  test_rel rank 1.18649913771865
Epoch 1505 :  test_rel rank 1.18649913771865
Epoch 1510 :  test_rel rank 1.18649913771865
Epoch 1515 :  test_rel rank 1.18649913771865
Epoch 1520 :  test_rel rank 1.18649913771865
