yago_data_neg_sample_5_mar_10_l2_0.00_model
Epoch 645 :  test_rel rank 1.5259042033235581
Epoch 650 :  test_rel rank 1.5234604105571847
Epoch 655 :  test_rel rank 1.52297165200391
Epoch 660 :  test_rel rank 1.524437927663734
Epoch 665 :  test_rel rank 1.5254154447702835
Epoch 670 :  test_rel rank 1.5268817204301075
Epoch 675 :  test_rel rank 1.5249266862170088
Epoch 680 :  test_rel rank 1.5234604105571847
Epoch 685 :  test_rel rank 1.5239491691104594
Epoch 690 :  test_rel rank 1.5219941348973607
Epoch 695 :  test_rel rank 1.5210166177908113
Epoch 700 :  test_rel rank 1.520039100684262
Epoch 705 :  test_rel rank 1.5205278592375366
Epoch 710 :  test_rel rank 1.520039100684262
Epoch 715 :  test_rel rank 1.520039100684262
Epoch 720 :  test_rel rank 1.5171065493646139
Epoch 725 :  test_rel rank 1.5166177908113392
Epoch 730 :  test_rel rank 1.5156402737047898
Epoch 735 :  test_rel rank 1.5156402737047898
Epoch 740 :  test_rel rank 1.5146627565982405
Epoch 745 :  test_rel rank 1.5156402737047898
Epoch 750 :  test_rel rank 1.5151515151515151
Epoch 755 :  test_rel rank 1.5146627565982405
Epoch 760 :  test_rel rank 1.512218963831867
Epoch 765 :  test_rel rank 1.5112414467253177
Epoch 770 :  test_rel rank 1.5127077223851417
Epoch 775 :  test_rel rank 1.5102639296187683
Epoch 780 :  test_rel rank 1.5117302052785924
Epoch 785 :  test_rel rank 1.5117302052785924
Epoch 790 :  test_rel rank 1.5141739980449658
Epoch 795 :  test_rel rank 1.512218963831867
Epoch 800 :  test_rel rank 1.513685239491691
Epoch 805 :  test_rel rank 1.5151515151515151
Epoch 810 :  test_rel rank 1.5146627565982405
Epoch 815 :  test_rel rank 1.5146627565982405
Epoch 820 :  test_rel rank 1.5131964809384164
Epoch 825 :  test_rel rank 1.513685239491691
Epoch 830 :  test_rel rank 1.5141739980449658
Epoch 835 :  test_rel rank 1.5156402737047898
Epoch 840 :  test_rel rank 1.5146627565982405
Epoch 845 :  test_rel rank 1.5141739980449658
Epoch 850 :  test_rel rank 1.5146627565982405
Epoch 855 :  test_rel rank 1.513685239491691
Epoch 860 :  test_rel rank 1.5141739980449658
Epoch 865 :  test_rel rank 1.5117302052785924
Epoch 870 :  test_rel rank 1.512218963831867
Epoch 875 :  test_rel rank 1.5097751710654936
Epoch 880 :  test_rel rank 1.5102639296187683
Epoch 885 :  test_rel rank 1.5102639296187683
Epoch 890 :  test_rel rank 1.5102639296187683
Epoch 895 :  test_rel rank 1.5102639296187683
Epoch 900 :  test_rel rank 1.5102639296187683
Epoch 905 :  test_rel rank 1.5102639296187683
Epoch 910 :  test_rel rank 1.5102639296187683
Epoch 915 :  test_rel rank 1.5102639296187683
Epoch 920 :  test_rel rank 1.5102639296187683
Epoch 925 :  test_rel rank 1.5102639296187683
Epoch 930 :  test_rel rank 1.5102639296187683
Epoch 935 :  test_rel rank 1.5102639296187683
Epoch 940 :  test_rel rank 1.5102639296187683
Epoch 945 :  test_rel rank 1.5102639296187683
Epoch 950 :  test_rel rank 1.5102639296187683
Epoch 955 :  test_rel rank 1.5102639296187683
Epoch 960 :  test_rel rank 1.5102639296187683
Epoch 965 :  test_rel rank 1.5102639296187683
Epoch 970 :  test_rel rank 1.5102639296187683
Epoch 975 :  test_rel rank 1.5102639296187683
Epoch 980 :  test_rel rank 1.5102639296187683
Epoch 985 :  test_rel rank 1.5102639296187683
Epoch 990 :  test_rel rank 1.5102639296187683
Epoch 995 :  test_rel rank 1.5102639296187683
Epoch 1000 :  test_rel rank 1.5102639296187683
Epoch 1005 :  test_rel rank 1.5102639296187683
Epoch 1010 :  test_rel rank 1.5102639296187683
Epoch 1015 :  test_rel rank 1.5102639296187683
Epoch 1020 :  test_rel rank 1.5102639296187683
Epoch 1025 :  test_rel rank 1.5102639296187683
Epoch 1030 :  test_rel rank 1.5102639296187683
