lit_comb_sle_yago_data_model
Epoch 650 :  test_rel rank 2.021404280856171
Epoch 655 :  test_rel rank 2.02000400080016
Epoch 660 :  test_rel rank 2.0216043208641725
Epoch 665 :  test_rel rank 2.021404280856171
Epoch 670 :  test_rel rank 2.023404680936187
Epoch 675 :  test_rel rank 2.023204640928186
Epoch 680 :  test_rel rank 2.0238047609521903
Epoch 685 :  test_rel rank 2.024404880976195
Epoch 690 :  test_rel rank 2.026405281056211
Epoch 695 :  test_rel rank 2.0266053210642125
Epoch 700 :  test_rel rank 2.027405481096219
Epoch 705 :  test_rel rank 2.0288057611522303
Epoch 710 :  test_rel rank 2.028005601120224
Epoch 715 :  test_rel rank 2.0276055211042205
Epoch 720 :  test_rel rank 2.0296059211842365
Epoch 725 :  test_rel rank 2.0308061612322463
Epoch 730 :  test_rel rank 2.0316063212642526
Epoch 735 :  test_rel rank 2.0328065613122623
Epoch 740 :  test_rel rank 2.0354070814162832
Epoch 745 :  test_rel rank 2.0356071214242846
Epoch 750 :  test_rel rank 2.0348069613922783
Epoch 755 :  test_rel rank 2.037007401480296
Epoch 760 :  test_rel rank 2.033206641328266
Epoch 765 :  test_rel rank 2.030406081216243
Epoch 770 :  test_rel rank 2.0306061212242446
Epoch 775 :  test_rel rank 2.0316063212642526
Epoch 780 :  test_rel rank 2.030406081216243
Epoch 785 :  test_rel rank 2.0318063612722543
Epoch 790 :  test_rel rank 2.03120624124825
Epoch 795 :  test_rel rank 2.0334066813362672
Epoch 800 :  test_rel rank 2.033006601320264
Epoch 805 :  test_rel rank 2.0336067213442686
Epoch 810 :  test_rel rank 2.0328065613122623
Epoch 815 :  test_rel rank 2.0328065613122623
Epoch 820 :  test_rel rank 2.033006601320264
Epoch 825 :  test_rel rank 2.0334066813362672
Epoch 830 :  test_rel rank 2.0314062812562512
Epoch 835 :  test_rel rank 2.0306061212242446
Epoch 840 :  test_rel rank 2.030206041208242
Epoch 845 :  test_rel rank 2.0316063212642526
Epoch 850 :  test_rel rank 2.0324064812962592
Epoch 855 :  test_rel rank 2.0348069613922783
Epoch 860 :  test_rel rank 2.0354070814162832
Epoch 865 :  test_rel rank 2.033206641328266
Epoch 870 :  test_rel rank 2.0344068813762752
Epoch 875 :  test_rel rank 2.0344068813762752
Epoch 880 :  test_rel rank 2.0336067213442686
Epoch 885 :  test_rel rank 2.0326065213042606
Epoch 890 :  test_rel rank 2.0314062812562512
Epoch 895 :  test_rel rank 2.031006201240248
Epoch 900 :  test_rel rank 2.030406081216243
Epoch 905 :  test_rel rank 2.032006401280256
Epoch 910 :  test_rel rank 2.0358071614322863
Epoch 915 :  test_rel rank 2.033006601320264
Epoch 920 :  test_rel rank 2.034006801360272
Epoch 925 :  test_rel rank 2.0314062812562512
Epoch 930 :  test_rel rank 2.0298059611922383
Epoch 935 :  test_rel rank 2.03000600120024
Epoch 940 :  test_rel rank 2.0316063212642526
Epoch 945 :  test_rel rank 2.03120624124825
Epoch 950 :  test_rel rank 2.030406081216243
Epoch 955 :  test_rel rank 2.031006201240248
Epoch 960 :  test_rel rank 2.030206041208242
Epoch 965 :  test_rel rank 2.0314062812562512
Epoch 970 :  test_rel rank 2.030206041208242
Epoch 975 :  test_rel rank 2.0324064812962592
Epoch 980 :  test_rel rank 2.034206841368274
Epoch 985 :  test_rel rank 2.0314062812562512
Epoch 990 :  test_rel rank 2.035207041408282
Epoch 995 :  test_rel rank 2.0356071214242846
Traceback (most recent call last):
  File "/home/adityad/HyTE/HyTE-master/result_eval_relation.py", line 16, in <module>
    model_output_rel = open('results/'+args.model+'/valid_rel_pred_{}.txt'.format(k))
FileNotFoundError: [Errno 2] No such file or directory: 'results/lit_comb_sle_yago_data_model/valid_rel_pred_1000.txt'
